Collection_no.	Genus	(Infra)Species	Databaseno.(name_on_the_tube)	L0725	F4121	fVGF	rVVG
Hsu7968	Polystichum	herbaceum	Co593	br03	br12	br03	br02
Hsu8119	Diplazium	sp.	Co595	br05	br12	br03	br04
Hsu8161	Hymenophyllum	digitatum	Co596	br06	br12	br03	br05
Hsu8162	Crepidomanes	minutumsubsp.proliferum	Co597	br07	br12		
Hsu8424	Diplazium	hachijoense	Co598	br01	br13	br03	br07
Hsu8703	Diplazium	sp.	Co599	br02	br13	br03	br08
Lu18888	Elaphoglossum	commutatum	Co600	br03	br13	br03	br09
Hsu8748	Hymenophyllum	sp.	Co601	br04	br13	br04	br01
Hsu8898	Hymenophyllum	paniculiflorum	Co603	br06	br13	br04	br03
Hsu8903	Hymenasplenium	adiantifrons	Co604	br07	br13	br04	br04
Hsu8937	Diplazium	sp.	Co605	br01	br14	br04	br05
Hsu9452	Polystichum	taizhongense	Co607	br03	br14	br04	br07
Hsu9592	Polystichum	sp.	Co608	br04	br14	br04	br08
Hsu9593	Polystichum	prescottianum	Co609	br05	br14	br04	br09
Hsu10066	Asplenium	formosaexgriffithianum	Co610	br06	br14	br05	br01
Hsu10190	Hymenophyllum	taiwanense	Co611	br07	br14	br05	br02
Hsu10202	Hymenophyllum	fujisanense	Co612	br01	br15	br05	br03
Hsu10334	Helminthostachys	zeylanica	Co613	br02	br15	br05	br04
Hsu11171	Diplazium	sp.	Co614	br03	br15	br05	br05
Hsu11462	Diplazium	sp.	Co615	br04	br15	br05	br06
Hsu11480	Diplazium	sp.	Co616	br05	br15		
Hsu11638	Asplenium	incisum	Co617	br06	br15	br05	br08
Hsu11660	Dryopteris	championii	Co618	br07	br15	br05	br09
Hsu11889	Hymenophyllum	nitidulum	Co619	br08	br15	br06	br01
Hsu11965	Asplenium	sp.	Co621	br07	br16	br06	br03
Hsu11985	Hymenophyllum	exquisitum	Co622	br11	br03	br06	br04
Hsu12835	Dryopteris	hikonensis	Co623	br12	br03	br06	br05
Hsu12842	Dryopteris	hikonensis	Co624	br13	br03	br06	br06
Hsu8586	Hymenophyllum	barbatum	Co625	br14	br03	br06	br07
Hsu7248	Adiantum	faberi	Co626	br15	br03		
